Date,Open,High,Low,Close_Gold,Volume,SP500,Close_Oil,DollarIndex
8/18/2010,1229.7,1231.6,1218,1229.7,169,1094.16,75.42,82.31
8/19/2010,1233.8,1237.6,1228.8,1233.8,46,1075.63,74.43,82.54
8/20/2010,1227.2,1232.8,1223,1227.2,236,1071.69,73.46,83.16
8/23/2010,1226.9,1228.9,1222.9,1226.9,56,1067.36,73.1,83.23
8/24/2010,1231.8,1234,1211.5,1231.8,300,1051.87,71.63,83.21
8/25/2010,1239.5,1240.7,1230.7,1239.5,298,1055.33,72.52,83.33
8/26/2010,1235.4,1243.3,1235,1235.4,104,1047.22,73.36,82.98
8/27/2010,1236,1236,1236,1236,573,1064.59,75.17,82.97
8/30/2010,1237.1,1237.9,1234,1237.1,128,1048.92,74.7,83.23
8/31/2010,1248.3,1249.4,1233,1248.3,124,1049.33,71.92,83.25
9/1/2010,1246.3,1254.3,1243.6,1246.3,41,1080.29,73.91,82.55
9/2/2010,1251.5,1252.5,1246.9,1251.5,100,1090.1,75.02,82.5
9/3/2010,1249.2,1249.2,1240,1249.2,3,1104.51,74.6,82.12
9/7/2010,1257.3,1258,1255.5,1257.3,7,1091.84,74.09,82.84
9/8/2010,1255.6,1260.2,1254.7,1255.6,27,1098.87,74.67,82.58
9/9/2010,1248.9,1256,1244.1,1248.9,9,1104.18,74.25,82.69
9/10/2010,1244.5,1244.5,1244.5,1244.5,20,1109.55,76.45,82.7
9/13/2010,1245.1,1245.1,1245.1,1245.1,18,1121.9,77.19,82.09
9/14/2010,1269.7,1272.4,1253.4,1269.7,87,1121.1,76.8,81.34
9/15/2010,1266.6,1269.8,1263.5,1266.7,34,1125.07,76.02,81.75
9/16/2010,1271.9,1275.2,1268.7,1271.9,37,1124.66,74.57,81.5
9/17/2010,1275.6,1279.6,1273.8,1275.6,54,1125.59,73.66,81.64
9/20/2010,1279,1282,1279,1279,27,1142.71,74.86,81.58
9/21/2010,1272.4,1289.8,1271.8,1272.4,56,1139.78,73.52,80.67
9/22/2010,1290.2,1290.2,1290.2,1290.2,17,1134.28,74.71,80.06
9/23/2010,1294.3,1294.3,1289.4,1294.3,45,1124.83,75.18,80.25
9/24/2010,1296,1297.4,1294.2,1296,37,1148.67,76.49,79.6
9/27/2010,1296.7,1296.7,1296.7,1296.7,67,1142.16,76.52,79.55
9/28/2010,1287.5,1308.6,1287.5,1306.6,25190,1147.7,76.18,79.21
9/29/2010,1309.4,1312.5,1305,1308.5,6745,1144.73,77.86,78.9
9/30/2010,1307.2,1315.2,1295.7,1307.8,579,1141.2,79.97,78.94
10/1/2010,1309,1320,1309,1316.1,153,1146.24,81.58,78.31
10/4/2010,1318.3,1319.1,1312,1315.4,95,1137.03,81.47,78.66
10/5/2010,1312.9,1341.1,1312.9,1338.9,197,1160.75,82.82,77.97
10/6/2010,1339.1,1349,1339,1346.4,215,1159.97,83.23,77.62
10/7/2010,1347.9,1363,1325.7,1333.9,261,1158.06,81.67,77.64
10/8/2010,1333.5,1348.4,1325,1344.2,80,1165.15,82.66,77.56
10/11/2010,1346.7,1353.7,1344,1353.3,79,1165.32,82.21,77.66
10/12/2010,1346.9,1352.2,1343.6,1345.7,112,1169.77,81.67,77.59
10/13/2010,1356.4,1374,1355.1,1369.5,251,1178.1,83.01,77.29
10/14/2010,1372.8,1383.9,1371.3,1376.7,106,1173.81,82.69,76.88
10/15/2010,1379.2,1382.4,1364.7,1371.1,170,1176.19,81.25,77.27
10/18/2010,1358,1372.6,1358,1371.2,46,1184.71,83.08,77.14
10/19/2010,1366.8,1370.5,1328.5,1335.1,301,1165.9,79.49,78.42
10/20/2010,1336,1345.8,1334.2,1343.3,148,1178.17,81.77,77.41
10/21/2010,1344.2,1346.2,1317.5,1324.7,102,1180.26,80.56,77.63
10/22/2010,1326.7,1328.1,1319,1324.4,113,1183.08,81.69,77.68
10/25/2010,1333.6,1349.1,1333.1,1338.3,194,1185.62,82.52,77.3
10/26/2010,1341.2,1341.2,1328.3,1338,195,1185.64,82.55,77.91
10/27/2010,1341,1341,1321.1,1322.2,106,1182.45,81.94,78.38
10/28/2010,1327.9,1343.6,1325.9,1342.1,192,1183.78,82.18,77.5
10/29/2010,1340.2,1358.7,1336.8,1357.1,74,1183.26,81.43,77.46
11/1/2010,1360.3,1360.3,1350.7,1350.2,40,1184.38,82.95,77.48
11/2/2010,1356.8,1356.8,1355.5,1356.4,17,1193.57,83.9,76.89
11/3/2010,1351.4,1359.2,1327.5,1337.1,135,1197.96,84.69,76.62
11/4/2010,1368.6,1392.5,1368.6,1382.7,109,1221.06,86.49,76
11/5/2010,1390.7,1398,1378.2,1397.3,109,1225.85,86.85,76.69
11/8/2010,1390.5,1409.2,1387.1,1402.8,112,1223.25,87.06,77.16
11/9/2010,1405.2,1423.2,1382.9,1409.8,84,1213.4,86.72,77.58
11/10/2010,1395.2,1408.1,1384,1399.1,29,1218.71,87.81,77.77
11/11/2010,1400.7,1413.5,1397.3,1403.1,26,1213.54,87.81,78.36
11/12/2010,1407.9,1407.9,1360.1,1365.4,182,1199.21,84.88,78.23
11/15/2010,1363.7,1372.6,1355.3,1368.4,46,1197.75,84.86,78.67
11/16/2010,1356.5,1358.2,1329.5,1338.3,67,1178.34,82.34,79.33
11/17/2010,1336.9,1341.8,1331.3,1336.8,50,1178.59,80.44,79.21
11/18/2010,1349.5,1353.2,1347.7,1352.9,17,1196.69,81.85,78.73
11/19/2010,1350.7,1352,1344.5,1352.2,7,1199.73,81.51,78.59
11/22/2010,1357.7,1357.7,1357.7,1357.7,7,1197.84,81.74,78.77
11/23/2010,1369.4,1377.5,1364.5,1377.5,15,1180.73,81.25,79.76
11/24/2010,1377.8,1377.8,1377.8,1372.9,3,1198.35,83.86,79.94
11/26/2010,1372.1,1372.1,1372.1,1362.3,138416,1189.4,83.76,80.43
11/29/2010,1364,1369.3,1352.6,1366,94486,1187.76,85.73,80.9
11/30/2010,1366.7,1390.1,1362.8,1385,11370,1180.55,84.11,81.27
12/1/2010,1386.8,1396.6,1382.3,1387.3,4759,1206.07,86.75,80.76
12/2/2010,1387.6,1398.6,1383.3,1388.5,1550,1221.53,88,80.34
12/3/2010,1385.1,1415.1,1385.1,1405.4,2341,1224.71,89.19,79.41
12/6/2010,1414,1428.4,1410,1415.3,833,1223.12,89.38,79.6
12/7/2010,1424.5,1431.1,1398,1408.3,866,1223.75,88.69,79.86
12/8/2010,1402.5,1403.8,1372,1382.5,1675,1228.28,88.28,80.01
12/9/2010,1380.6,1394.2,1380.5,1392.1,971,1233,88.37,80.08
12/10/2010,1388.9,1392,1373.1,1384.3,457,1240.4,87.79,80.07
12/13/2010,1384.5,1399.2,1384.5,1397.3,193,1240.46,88.61,79.64
12/14/2010,1401.9,1407.3,1391.8,1403.6,431,1241.59,88.28,79.69
12/15/2010,1394,1394,1379.5,1385.5,215,1235.23,88.62,80.58
12/16/2010,1380.9,1385,1362.5,1370.4,228,1242.87,87.7,80.55
12/17/2010,1376.4,1378.6,1365.9,1378.6,102,1243.91,88.02,80.75
12/20/2010,1383.2,1386.7,1376.5,1385.5,125,1247.08,88.81,80.97
12/21/2010,1385.8,1389.5,1381.5,1388.2,113,1254.6,89.82,81.07
12/22/2010,1388,1389.5,1385,1386.8,58,1258.84,90.48,81.07
12/23/2010,1388.4,1388.4,1373.7,1380,101,1256.77,91.51,80.83
12/27/2010,1373.5,1384.2,1373.5,1382.4,322,1257.54,91,80.68
12/28/2010,1389.8,1406.7,1389.8,1405.2,519,1258.51,91.49,80.67
12/29/2010,1403.4,1412.2,1402.9,1413.1,413,1259.78,91.12,80.1
12/30/2010,1413.8,1413.8,1403.1,1405.6,185,1257.88,89.84,79.8
12/31/2010,1405.7,1421.1,1405.7,1421.1,54,1257.64,91.38,79.29
1/3/2011,1415.6,1423.9,1413.7,1422.6,28,1271.87,91.55,79.38
1/4/2011,1409.6,1410.9,1375.8,1378.5,122,1270.2,89.38,79.7
1/5/2011,1383.4,1384,1364.2,1373.4,175,1276.56,90.3,80.54
1/6/2011,1374.8,1376.5,1368.9,1371.4,158,1273.85,88.38,81.09
1/7/2011,1372.7,1377.2,1355.5,1368.5,225,1271.5,88.03,81.32
1/10/2011,1369,1374,1365.7,1373.7,181,1269.75,89.25,81.16
1/11/2011,1375.4,1384.5,1373.9,1384,13,1274.48,91.11,81.14
1/12/2011,1382.6,1385.5,1378,1385.7,204,1285.96,91.86,80.25
1/13/2011,1386.1,1392.5,1371.4,1386.9,66,1283.76,91.4,79.41
1/14/2011,1375,1376,1356.7,1360.4,252,1293.24,91.54,79.37
1/18/2011,1365.1,1371,1359.2,1368.1,106,1295.02,91.38,79.16
1/19/2011,1371.9,1376.2,1367,1370.2,40,1281.92,90.86,78.81
1/20/2011,1367.7,1367.7,1345,1346.5,10,1280.26,88.86,78.98
1/21/2011,1341.7,1345.6,1338.6,1341,20,1283.35,89.11,78.37
1/24/2011,1352.3,1352.3,1341.8,1344.5,2,1290.84,87.87,78.19
1/25/2011,1330.4,1331.5,1323.6,1332.3,394,1291.18,86.19,78.14
1/26/2011,1333,1341.7,1333,1333,4,1296.63,87.33,78.04
1/27/2011,1342,1342,1318.4,1318.4,210699,1299.54,85.64,77.85
1/28/2011,1314,1346.6,1307.7,1340.7,73023,1276.34,89.34,78.28
1/31/2011,1339,1345.9,1323.3,1333.8,13657,1286.12,92.19,77.86
2/1/2011,1333.1,1342.9,1325.3,1339.6,3180,1307.59,90.77,77.19
2/2/2011,1344,1344,1327,1331.5,1363,1304.03,90.86,77.28
2/3/2011,1335.6,1355.8,1324.9,1352.3,1865,1307.1,90.54,77.87
2/4/2011,1354.8,1360,1345,1348.3,591,1310.87,89.03,78.16
2/7/2011,1345.8,1353.8,1343.8,1347.6,1004,1319.05,87.48,78.12
2/8/2011,1351.2,1367,1350,1363.4,2536,1324.57,86.94,78.09
2/9/2011,1362.8,1366.5,1359.6,1364.8,146,1320.88,86.71,77.72
2/10/2011,1364.3,1364.5,1351.7,1361.9,312,1321.87,86.73,78.33
2/11/2011,1364,1368.8,1355.2,1359.9,488,1329.15,85.58,78.57
2/14/2011,1357.8,1365.6,1356.6,1364.6,181,1332.32,84.81,78.72
2/15/2011,1361.6,1376,1361.6,1373.6,321,1328.01,84.32,78.66
2/16/2011,1373.6,1382,1370.5,1374.7,156,1336.32,84.99,78.28
2/17/2011,1377.7,1384.7,1377,1384.7,113,1340.43,86.36,78.07
2/18/2011,1384.1,1391.8,1381.8,1388.2,98,1343.01,86.2,77.72
2/22/2011,1395.1,1408.7,1395.1,1400.5,430,1315.44,93.57,77.82
2/23/2011,1397.8,1413.8,1397.8,1413.4,318,1307.4,98.1,77.44
2/24/2011,1415.1,1415.3,1408.3,1415.3,809,1306.1,97.28,77.1
2/25/2011,1401.7,1411,1401,1408.7,352,1319.88,97.88,77.3
2/28/2011,1410.7,1415.7,1407.7,1409.3,205,1327.22,96.97,76.92
3/1/2011,1415.3,1434.4,1415.3,1430.7,116,1306.33,99.63,77.08
3/2/2011,1432.5,1440.5,1428.8,1437.2,1600,1308.44,102.23,76.69
3/3/2011,1432.3,1432.3,1415.9,1416,244,1330.97,101.91,76.5
3/4/2011,1418.9,1429.8,1416.8,1428.2,60,1321.15,104.42,76.42
3/7/2011,1434.5,1445,1429.5,1434.1,613,1310.13,105.44,76.51
3/8/2011,1431.6,1432.6,1424.3,1426.9,198,1321.82,105.02,76.8
3/9/2011,1430,1435.7,1426.1,1429.3,98,1320.02,104.38,76.72
3/10/2011,1429.5,1429.8,1403.8,1412.2,23,1295.11,102.7,77.27
3/11/2011,1413.7,1422.6,1404.9,1421.5,23,1304.28,101.16,76.77
3/14/2011,1420,1427.7,1420,1424.6,58,1296.39,101.19,76.46
3/15/2011,1413.3,1413.3,1385.5,1392.6,20,1281.87,97.18,76.66
3/16/2011,1398,1404.2,1394.3,1396,38,1256.88,97.98,76.99
3/17/2011,1387.7,1393.6,1387.7,1404,27,1273.72,101.42,76.34
3/18/2011,1406.4,1419.3,1406.4,1415.9,6,1279.21,101.07,75.97
3/21/2011,1433.5,1433.5,1430.8,1426.2,43,1298.38,102.33,75.65
3/22/2011,1430.4,1430.4,1430.4,1427.5,85,1293.77,104,75.67
3/23/2011,1432.2,1439.7,1432.2,1437.9,19,1297.54,105.75,76.05
3/24/2011,1437.7,1446.9,1437.5,1434.8,27,1309.66,105.6,75.89
3/25/2011,1436,1436,1436,1426.1,1,1313.8,105.4,76.49
3/28/2011,1413.2,1415.6,1413.2,1419.8,6,1310.19,103.98,76.38
3/29/2011,1416,1416,1416,1416,135792,1319.44,104.79,76.5
3/30/2011,1418.7,1430.3,1412,1423.8,47011,1328.26,104.27,76.36
3/31/2011,1423.3,1440,1420.7,1438.9,8230,1325.83,106.72,76.07
4/1/2011,1433.4,1436.5,1413,1428.1,5318,1332.41,107.94,76.08
4/4/2011,1429.1,1439.1,1428.8,1432.2,683,1332.87,108.47,76.16
4/5/2011,1437.9,1457.6,1430.3,1451.8,2609,1332.63,108.34,76.11
4/6/2011,1456.9,1462.3,1452,1457.7,901,1335.54,108.83,75.76
4/7/2011,1459.7,1462.5,1453.9,1458.5,229,1333.51,110.3,75.81
4/8/2011,1457.6,1475.5,1457.5,1473.4,1407,1328.17,112.79,75.27
4/11/2011,1476,1476,1459.7,1467.4,378,1324.46,109.92,75.28
4/12/2011,1461.8,1467.2,1444.4,1452.9,345,1314.16,106.25,75.07
4/13/2011,1455,1462,1454,1454.9,197,1314.41,107.11,75.19
4/14/2011,1456.8,1476,1452.7,1471.7,535,1314.52,108.11,74.89
4/15/2011,1477.6,1487.5,1473.2,1485.3,293,1319.68,109.66,75.03
4/18/2011,1486.3,1497.3,1477.5,1492.3,650,1305.14,107.12,75.73
4/19/2011,1493.3,1499.5,1489,1494.5,168,1312.62,108.15,75.25
4/20/2011,1494,1505.3,1494,1498.3,386,1330.36,111.45,74.57
4/21/2011,1503.7,1508.3,1501.7,1503.2,237,1337.38,112.29,74.18
4/25/2011,1513.3,1518,1502.8,1508.6,233,1335.25,112.28,74.18
4/26/2011,1501.5,1506.3,1495,1503,223,1347.24,112.21,74.03
4/27/2011,1507.1,1512.8,1505.2,1516.7,460,1355.66,112.76,73.69
4/28/2011,1528.6,1536,1526.6,1530.8,425,1360.48,112.86,73.31
4/29/2011,1538.7,1568.7,1537.3,1556,124,1363.61,113.93,73.11
5/2/2011,1572.9,1576.6,1543.1,1556.7,200,1361.22,113.52,73.14
5/3/2011,1542.5,1547,1527.5,1540.1,246,1356.62,111.05,73.32
5/4/2011,1535,1539,1506.2,1514.9,272,1347.32,109.24,73.21
5/5/2011,1514.7,1520.7,1471,1480.9,133,1335.1,99.8,74.38
5/6/2011,1473.2,1494.8,1472.3,1491.2,144,1340.2,97.18,75.08
5/9/2011,1501.5,1512.8,1501.3,1502.9,44,1346.29,102.55,74.9
